time,lon,lat,beam_power
-5.0,-126.0,40.424999999999976,0.0008574045391972571
-4.5,-126.0,40.0,0.0013945125155201317
-4.0,-125.64999999999992,40.449999999999974,0.002360575182464522
-3.5,-125.29999999999984,40.39999999999998,0.003204801980883675
-3.0,-125.19999999999982,40.39999999999998,0.003576099633611019
-2.5,-126.0,40.0,0.005749426099816366
-2.0,-126.0,40.449999999999974,0.010313272884394787
-1.5,-124.82499999999973,40.099999999999994,0.018847707707116062
-1.0,-126.0,40.12499999999999,0.03521051075471053
-0.5,-125.24999999999983,40.37499999999998,0.06456915722900582
0.0,-125.07499999999979,40.37499999999998,0.12096012716616654
0.5,-125.04999999999978,40.39999999999998,0.13473728903712884
1.0,-125.0999999999998,40.449999999999974,0.18525006147909898
1.5,-124.89999999999975,40.37499999999998,0.31331317269010517
2.0,-124.89999999999975,40.39999999999998,0.3683500967168247
2.5,-124.89999999999975,40.37499999999998,0.48988125583673553
3.0,-124.89999999999975,40.37499999999998,0.6870008007427316
3.5,-124.87499999999974,40.37499999999998,0.720237107626748
4.0,-124.89999999999975,40.37499999999998,0.8003060735060945
4.5,-124.92499999999976,40.37499999999998,0.9168977464758269
5.0,-124.92499999999976,40.37499999999998,0.942295204044582
5.5,-124.92499999999976,40.37499999999998,0.981900286431272
6.0,-124.94999999999976,40.37499999999998,0.9992248705952181
6.5,-124.94999999999976,40.37499999999998,1.0
7.0,-124.97499999999977,40.39999999999998,0.9957223947246083
7.5,-124.97499999999977,40.37499999999998,0.9399707975715597
8.0,-125.02499999999978,40.37499999999998,0.9014530583913911
8.5,-124.99999999999977,40.34999999999998,0.8239860676933287
9.0,-125.1249999999998,40.39999999999998,0.7046831901995707
9.5,-125.0999999999998,40.39999999999998,0.6951405052739338
10.0,-125.1249999999998,40.39999999999998,0.6670701581415472
10.5,-125.02499999999978,40.39999999999998,0.6057567632117616
11.0,-125.02499999999978,40.39999999999998,0.5848103552814364
11.5,-124.97499999999977,40.39999999999998,0.5640178870398461
12.0,-124.97499999999977,40.39999999999998,0.5124851233334669
12.5,-124.94999999999976,40.39999999999998,0.5013303007179088
13.0,-124.79999999999973,40.34999999999998,0.47354771380023386
13.5,-124.77499999999972,40.34999999999998,0.4227241878783854
14.0,-124.72499999999971,40.37499999999998,0.4196876341216743
14.5,-124.62499999999969,40.32499999999998,0.41663578277840674
15.0,-124.59999999999968,40.32499999999998,0.37231309062914125
15.5,-124.59999999999968,40.29999999999998,0.3180824190689728
16.0,-124.59999999999968,40.32499999999998,0.28400787330593225
16.5,-126.0,40.34999999999998,0.2089614551276037
17.0,-126.0,40.34999999999998,0.20847190539558255
17.5,-126.0,40.34999999999998,0.20262541934292672
18.0,-126.0,40.34999999999998,0.20431950195216986
18.5,-126.0,40.34999999999998,0.1652862715223367
19.0,-125.92499999999998,40.39999999999998,0.13813631217025552
19.5,-125.87499999999997,40.424999999999976,0.1328791481687533
20.0,-125.82499999999996,40.29999999999998,0.08551245490500634
20.5,-123.52499999999944,40.69999999999996,0.0751746781796805
21.0,-123.52499999999944,40.599999999999966,0.0795931493478496
21.5,-123.52499999999944,40.64999999999996,0.08006183730972531
22.0,-125.32499999999985,40.67499999999996,0.0800978824977809
22.5,-125.32499999999985,40.67499999999996,0.07807792599731068
23.0,-125.32499999999985,40.69999999999996,0.07720682283671919
23.5,-126.0,40.249999999999986,0.0735888783739744
24.0,-125.1249999999998,40.64999999999996,0.06910457417354011
24.5,-125.1249999999998,40.64999999999996,0.06889405338805978
25.0,-125.1249999999998,40.64999999999996,0.06778198612035786
25.5,-126.0,40.32499999999998,0.06608857140168549
26.0,-126.0,40.34999999999998,0.0665982701628894
26.5,-126.0,40.34999999999998,0.06518164525333343
27.0,-126.0,40.34999999999998,0.06002089534936494
27.5,-124.6749999999997,40.52499999999997,0.05972847892439158
28.0,-124.6749999999997,40.52499999999997,0.05379777278996375
28.5,-124.6749999999997,40.52499999999997,0.051929172192507825
29.0,-124.6499999999997,40.47499999999997,0.04851421584917397
29.5,-124.6499999999997,40.49999999999997,0.047979527481663675
30.0,-124.62499999999969,40.449999999999974,0.04827314181779815
30.5,-124.62499999999969,40.449999999999974,0.050452514718651316
31.0,-124.6499999999997,40.424999999999976,0.048471459319239484
31.5,-124.72499999999971,40.47499999999997,0.052523657074784846
32.0,-124.84999999999974,40.57499999999997,0.04824626209629068
32.5,-124.92499999999976,40.599999999999966,0.04291373066988602
33.0,-125.02499999999978,40.599999999999966,0.03794324652315131
33.5,-125.02499999999978,40.599999999999966,0.027431323772973047
34.0,-124.99999999999977,40.54999999999997,0.02580172579412646
34.5,-124.82499999999973,40.37499999999998,0.024849772085175623
35.0,-124.82499999999973,40.37499999999998,0.022959897363947226
35.5,-124.82499999999973,40.39999999999998,0.02265847279465136
36.0,-124.6499999999997,40.34999999999998,0.020881383470224998
36.5,-125.02499999999978,40.624999999999964,0.018888208549847612
37.0,-125.07499999999979,40.69999999999996,0.01795074939560561
37.5,-123.74999999999949,40.0,0.012956876277006438
38.0,-123.92499999999953,40.0,0.011122656280019173
38.5,-123.94999999999953,40.0,0.010959270990376514
39.0,-124.14999999999958,40.0,0.009436888744191692
39.5,-125.74999999999994,40.099999999999994,0.008680050712714032
