r,l,t,b,slip
0.0,4.4399999999999995,0,5,0.548792878014965
4.4399999999999995,8.879999999999999,0,5,0.5048665702719642
8.879999999999999,13.319999999999997,0,5,0.5305127573217161
13.32,17.759999999999998,0,5,0.5997432619421426
17.759999999999998,22.199999999999996,0,5,0.7087412647050112
22.199999999999996,26.639999999999993,0,5,0.8578222563958545
26.639999999999997,31.079999999999995,0,5,1.0455839983586077
31.08,35.519999999999996,0,5,1.2616506541056909
35.519999999999996,39.959999999999994,0,5,1.4759323733698955
39.959999999999994,44.39999999999999,0,5,1.6286197349054639
44.39999999999999,48.83999999999999,0,5,1.6313786721035681
48.839999999999996,53.279999999999994,0,5,1.3923778156996491
53.279999999999994,57.71999999999999,0,5,0.8807266367682007
57.71999999999999,62.15999999999999,0,5,0.23475155636646589
62.16,66.6,0,5,0.0
66.6,71.03999999999999,0,5,0.0
71.03999999999999,75.47999999999999,0,5,0.0
75.47999999999999,79.91999999999999,0,5,0.0
79.91999999999999,84.35999999999999,0,5,0.0
84.35999999999999,88.79999999999998,0,5,0.0
0.0,4.4399999999999995,5,10,0.33347601770859286
4.4399999999999995,8.879999999999999,5,10,0.33548459754877147
8.879999999999999,13.319999999999997,5,10,0.35572589273740784
13.32,17.759999999999998,5,10,0.4035189414526505
17.759999999999998,22.199999999999996,5,10,0.48046829858428053
22.199999999999996,26.639999999999993,5,10,0.5870558929761684
26.639999999999997,31.079999999999995,5,10,0.7224987033602648
31.08,35.519999999999996,5,10,0.8806896916053552
35.519999999999996,39.959999999999994,5,10,1.041022348044675
39.959999999999994,44.39999999999999,5,10,1.159685887206617
44.39999999999999,48.83999999999999,5,10,1.1712665204772117
48.839999999999996,53.279999999999994,5,10,1.0158393828996408
53.279999999999994,57.71999999999999,5,10,0.6921553611353826
57.71999999999999,62.15999999999999,5,10,0.33363869138218466
62.16,66.6,5,10,0.062224099928257386
66.6,71.03999999999999,5,10,0.0
71.03999999999999,75.47999999999999,5,10,0.0
75.47999999999999,79.91999999999999,5,10,0.01341726591873506
79.91999999999999,84.35999999999999,5,10,0.0
84.35999999999999,88.79999999999998,5,10,0.0
0.0,4.4399999999999995,10,15,0.09381430626277179
4.4399999999999995,8.879999999999999,10,15,0.11951720667546584
8.879999999999999,13.319999999999997,10,15,0.1293992108153722
13.32,17.759999999999998,10,15,0.14830060930076552
17.759999999999998,22.199999999999996,10,15,0.1802975722532027
22.199999999999996,26.639999999999993,10,15,0.22584258981325123
26.639999999999997,31.079999999999995,10,15,0.2848182156294913
31.08,35.519999999999996,10,15,0.3586547367059955
35.519999999999996,39.959999999999994,10,15,0.44741466849378253
39.959999999999994,44.39999999999999,10,15,0.5308696075497511
44.39999999999999,48.83999999999999,10,15,0.569101596993463
48.839999999999996,53.279999999999994,10,15,0.5222846784159579
53.279999999999994,57.71999999999999,10,15,0.3984746385995044
57.71999999999999,62.15999999999999,10,15,0.25225976140981243
62.16,66.6,10,15,0.1634617473786452
66.6,71.03999999999999,10,15,0.14908443372317468
71.03999999999999,75.47999999999999,10,15,0.18717223888749954
75.47999999999999,79.91999999999999,10,15,0.15310516177527533
79.91999999999999,84.35999999999999,10,15,0.0
84.35999999999999,88.79999999999998,10,15,0.0
0.0,4.4399999999999995,15,20,0.0
4.4399999999999995,8.879999999999999,15,20,0.0
8.879999999999999,13.319999999999997,15,20,0.0
13.32,17.759999999999998,15,20,0.0
17.759999999999998,22.199999999999996,15,20,0.0
22.199999999999996,26.639999999999993,15,20,0.0
26.639999999999997,31.079999999999995,15,20,0.0
31.08,35.519999999999996,15,20,0.0
35.519999999999996,39.959999999999994,15,20,0.019302979827045652
39.959999999999994,44.39999999999999,15,20,0.08497683548000058
44.39999999999999,48.83999999999999,15,20,0.1446518614338135
48.839999999999996,53.279999999999994,15,20,0.16304335732802314
53.279999999999994,57.71999999999999,15,20,0.1417481330786047
57.71999999999999,62.15999999999999,15,20,0.12101364413889858
62.16,66.6,15,20,0.13807666829885512
66.6,71.03999999999999,15,20,0.1746005428893454
71.03999999999999,75.47999999999999,15,20,0.12026468564603832
75.47999999999999,79.91999999999999,15,20,0.0
79.91999999999999,84.35999999999999,15,20,0.0
84.35999999999999,88.79999999999998,15,20,0.0
