r,l,t,b,slip
0.0,4.4399999999999995,0,5,0.3876267943814466
4.4399999999999995,8.879999999999999,0,5,0.37448559870913944
8.879999999999999,13.319999999999997,0,5,0.43572326392011695
13.32,17.759999999999998,0,5,0.5449167056115517
17.759999999999998,22.199999999999996,0,5,0.696075938366325
22.199999999999996,26.639999999999993,0,5,0.8872318795668059
26.639999999999997,31.079999999999995,0,5,1.1130177840179312
31.08,35.519999999999996,0,5,1.3557120358017387
35.519999999999996,39.959999999999994,0,5,1.5739674694722618
39.959999999999994,44.39999999999999,0,5,1.6968771857977676
44.39999999999999,48.83999999999999,0,5,1.6327504549119765
48.839999999999996,53.279999999999994,0,5,1.3034859435754735
53.279999999999994,57.71999999999999,0,5,0.7157389522578718
57.71999999999999,62.15999999999999,0,5,0.06899099124644732
62.16,66.6,0,5,0.0
66.6,71.03999999999999,0,5,0.0
71.03999999999999,75.47999999999999,0,5,0.0
75.47999999999999,79.91999999999999,0,5,0.0
79.91999999999999,84.35999999999999,0,5,0.0
84.35999999999999,88.79999999999998,0,5,0.0
0.0,4.4399999999999995,5,10,0.2163227729796306
4.4399999999999995,8.879999999999999,5,10,0.2373425678094342
8.879999999999999,13.319999999999997,5,10,0.28413905836058595
13.32,17.759999999999998,5,10,0.3617784089671622
17.759999999999998,22.199999999999996,5,10,0.4699162608830736
22.199999999999996,26.639999999999993,5,10,0.6074024171379615
26.639999999999997,31.079999999999995,5,10,0.7716631253572109
31.08,35.519999999999996,5,10,0.9514789700610861
35.519999999999996,39.959999999999994,5,10,1.1175863154286965
39.959999999999994,44.39999999999999,5,10,1.215263210827427
44.39999999999999,48.83999999999999,5,10,1.1765649011142425
48.839999999999996,53.279999999999994,5,10,0.954724685367069
53.279999999999994,57.71999999999999,5,10,0.580377167117537
57.71999999999999,62.15999999999999,5,10,0.22914966952782576
62.16,66.6,5,10,0.0
66.6,71.03999999999999,5,10,0.0
71.03999999999999,75.47999999999999,5,10,0.0
75.47999999999999,79.91999999999999,5,10,0.0
79.91999999999999,84.35999999999999,5,10,0.0
84.35999999999999,88.79999999999998,5,10,0.0
0.0,4.4399999999999995,10,15,0.03877978613286796
4.4399999999999995,8.879999999999999,10,15,0.07247227872604113
8.879999999999999,13.319999999999997,10,15,0.0953437994409948
13.32,17.759999999999998,10,15,0.12820455167896658
17.759999999999998,22.199999999999996,10,15,0.17459291223586582
22.199999999999996,26.639999999999993,10,15,0.23432849138860734
26.639999999999997,31.079999999999995,10,15,0.306638961999645
31.08,35.519999999999996,10,15,0.3983337399844207
35.519999999999996,39.959999999999994,10,15,0.4998674239740618
39.959999999999994,44.39999999999999,10,15,0.5807867197021445
44.39999999999999,48.83999999999999,10,15,0.5906507250700558
48.839999999999996,53.279999999999994,10,15,0.5047941323141493
53.279999999999994,57.71999999999999,10,15,0.3576364379729158
57.71999999999999,62.15999999999999,10,15,0.22071179318701153
62.16,66.6,10,15,0.16968554869590693
66.6,71.03999999999999,10,15,0.17859972068216168
71.03999999999999,75.47999999999999,10,15,0.18793482043251322
75.47999999999999,79.91999999999999,10,15,0.11596356528295201
79.91999999999999,84.35999999999999,10,15,0.0
84.35999999999999,88.79999999999998,10,15,0.0
0.0,4.4399999999999995,15,20,0.0
4.4399999999999995,8.879999999999999,15,20,0.0
8.879999999999999,13.319999999999997,15,20,0.0
13.32,17.759999999999998,15,20,0.0
17.759999999999998,22.199999999999996,15,20,0.0
22.199999999999996,26.639999999999993,15,20,0.0
26.639999999999997,31.079999999999995,15,20,0.0
31.08,35.519999999999996,15,20,0.0
35.519999999999996,39.959999999999994,15,20,0.06064276064647799
39.959999999999994,44.39999999999999,15,20,0.1376178947109963
44.39999999999999,48.83999999999999,15,20,0.1825147382491461
48.839999999999996,53.279999999999994,15,20,0.17748523250733683
53.279999999999994,57.71999999999999,15,20,0.14946570775853216
57.71999999999999,62.15999999999999,15,20,0.1565893425170655
62.16,66.6,15,20,0.22755228239430547
66.6,71.03999999999999,15,20,0.30758508511349447
71.03999999999999,75.47999999999999,15,20,0.23912867990166387
75.47999999999999,79.91999999999999,15,20,0.0
79.91999999999999,84.35999999999999,15,20,0.0
84.35999999999999,88.79999999999998,15,20,0.0
