id,lon,lat,E,N,Up,Se,Sn,Su,x,y
P333,-122.9758,39.6214,-0.002,0.00254,-0.00877,0.00024,0.00029,0.00092,195005.70986038545,-86673.6741399997
P334,-122.7359,39.4936,-0.00117,-0.00107,0.00213,0.00024,0.00028,0.0009,215973.9623123158,-100900.35735999976
P335,-122.8736,39.7262,0.00013,0.00382,-0.0017,0.00024,0.00028,0.0009,203460.1360694662,-75007.34861999999
P337,-122.8688,40.2962,0.00423,-0.00204,0.0032,0.00024,0.00029,0.00091,202175.6366202712,-11555.005619999964
P338,-122.923,40.7476,0.00157,-0.00067,-0.00135,0.00024,0.00029,0.00092,196247.78240484395,38694.797239999985
P339,-122.6682,40.0341,0.00397,0.00165,-0.00905,0.00024,0.00029,0.00091,220055.56421891312,-40731.95140999959
P341,-122.6069,40.6507,0.00161,-0.00028,-0.00695,0.00025,0.0003,0.00096,223230.5920453182,27907.898930000214
P343,-123.3342,40.8871,0.00565,0.0032,-0.0043,0.00023,0.00028,0.00089,161229.7824037072,54223.92328999979
P344,-122.028,39.9291,-0.00048,0.00243,-0.0058,0.00024,0.00029,0.00091,275044.3238343816,-52420.54091000003
P345,-122.2708,40.2712,0.00247,-0.00094,-0.00094,0.00026,0.00031,0.00099,253042.35277819834,-14338.003119999805
P348,-121.828,40.9055,0.00448,-0.00149,-0.00698,0.00024,0.00029,0.00091,287908.38113644667,56272.20945000055
P349,-122.3194,40.7311,0.00246,0.00044,0.0002,0.00026,0.00031,0.00098,247213.762669209,36858.01888999992
P655,-122.2063,41.2945,0.00672,-0.00187,0.01205,0.00037,0.00044,0.0014,254568.06922569987,99575.65055000008
P657,-122.2938,41.3812,0.00293,-0.00137,-0.00737,0.00025,0.0003,0.00094,246920.8624320616,109227.08588000013
P658,-122.1909,41.4792,8e-05,-0.00169,0.00061,0.00024,0.00029,0.00091,255130.31183736853,120136.43608000001
P659,-122.0927,41.4537,-0.00083,-0.0017,-0.00361,0.00028,0.00034,0.00107,263423.81760568876,117297.7786299999
P660,-122.0677,41.4096,-0.00904,-0.00445,0.01469,0.00035,0.00043,0.00135,265690.0787454481,112388.57103999988
P663,-122.1529,41.5319,0.0018,-9e-05,-0.00078,0.00027,0.00033,0.00103,258089.3794949734,126002.99481000018
P664,-121.4959,40.4732,0.0053,-0.00013,0.00897,0.00027,0.00032,0.00102,317905.1592513119,8148.616679999992
P665,-121.5258,40.4561,0.00217,-0.00192,0.00429,0.00025,0.0003,0.00095,315453.4626959007,6245.046390000078
