lon,lat,depth,x,y,disloc,along_stk_disloc
-124.579999288,40.3065923055,9.14799976349,56.95672230447287,-10.156423729718368,34,70.68739165639273
-124.46666717533334,40.3117535909,11.231333414699998,66.58577324426916,-9.504179398193827,56,80.19551554998729
-124.430000305,40.298664093,14.38499975205,69.71595071552683,-10.929362779119515,56,83.4575178102243
-124.352499008,40.30156993865,12.604750156399998,76.30158342883738,-10.542741488809485,57,89.96666080912254
-124.4350013735,40.32357597355,5.052000045775,69.2653031403156,-8.16712438752024,36,82.72060639532933
-124.42500114425,40.30755519867501,11.77524995805,70.13176319036988,-9.938161534594508,56,83.7674436779438
-124.489997864,40.2920436859,19.72000026705,64.62143051562501,-11.710033627542606,75,78.47250824912952
-124.99000040699998,40.4061164856,3.626666545866667,22.070246648163945,0.7116456528943451,6,34.85600517271051
-124.50333404533336,40.31385676066666,9.90699990592,63.46707871090009,-9.297602090998955,35,77.07231234311938
-124.5550003055,40.31057929995,19.69449996945,59.07836527801319,-9.69731624262484,74,72.74942224763228
-124.43666839566669,40.30859375,11.174332936633332,69.13891827173374,-9.832027600869598,56,82.76894365066221
-124.440002441,40.31345558165,8.06550002098,68.85056834279465,-9.29477955434953,36,82.4260156201081
-124.4150009155,40.30802345275,9.83799982071,70.98135021320661,-9.878191020830954,36,84.6061079485306
-124.424999237,40.31553077695,9.10000038147,70.12367048882611,-9.052567477188814,36,83.66682552316627
-124.424999237,40.35074996945,18.7074995041,70.08720724648245,-5.141882976769098,76,83.22178418912587
-124.614997864,40.29861450195,14.18600034715,53.987902539012524,-11.064216782433038,53,67.82972560900564
-124.300003052,40.29858016965,9.045499801635,80.76795452525153,-10.82811172500175,38,94.43839396959793
-124.38999938966668,40.2971598307,16.177333196033334,73.11832598746359,-11.064099387637361,77,86.85533832505926
-124.395000458,40.30803489685,10.27250003815,72.68147849882794,-9.86067890523462,57,86.29509223898408
-125.2700004575,40.4215736389,13.645499706265,-1.6973668114944238,2.395783630814825,42,11.04255283166787
-124.494998932,40.3197555542,9.921999931335,64.16996381215158,-8.636594595048301,35,77.70225286848199
-124.519996643,40.31087112425,10.76300001145,62.05351424015371,-9.640945323964255,55,75.70238066696264
-125.1199989315,40.37220573425,0.473500013349,11.04077979813406,-3.0782160971798773,4,24.283107320849375
-124.4200019835,40.3083744049,8.13150000572,70.55586801648099,-9.843223058212036,36,84.17930144040142
