id,lon,lat,E,N,Up
ALDR,-122.7161,39.6547,-0.0013603187282196798,0.0016829900674568805,0.0006305869362946046
BCUT,-124.0826,40.8285,0.014547427534299561,0.012266216181337405,-0.004616578123544496
CACC,-124.1843,41.7456,0.0021709784309518953,0.0014137701154747764,-0.0006660963394902546
CHCO,-121.7994,39.7151,-0.00038883778516140996,0.0007603773139283,0.00020090025224019662
HCRO,-121.4699,40.8159,0.0007386531960531013,0.0006365259057166935,-0.0002952237713479812
ORVB,-121.5003,39.5546,-0.00038188842708522053,0.0006409190270896767,0.00019649268516156305
P058,-124.0754,40.8763,0.012944531851006247,0.01113433790942622,-0.004282032046967392
P060,-122.4149,40.9976,0.0018458675202890663,0.0013496007053599472,-0.0007337902310010788
P154,-123.3601,41.8071,0.002091028102223884,0.001871666256571649,-0.0009202872570446934
P155,-123.1888,41.2724,0.0034621360654541675,0.002763257595661912,-0.0014180757738703603
P157,-124.3081,40.2475,-0.022342964134710236,0.028109732850205092,-0.00036298498592289926
P158,-124.1072,40.4225,0.017356513469234287,0.013384994075296426,-0.00230836528977781
P159,-124.2828,40.5048,0.040949270180511144,0.029332891460607795,-0.005244760193760117
P160,-124.1333,40.5513,0.02501197654423104,0.017752517272963494,-0.004906242518296199
P161,-124.2131,40.6374,0.027535668933003382,0.0216291864307271,-0.006383499245535818
P162,-124.237,40.6911,0.02516208879887323,0.02084603918153967,-0.0064707150624024
P163,-124.0573,40.2196,-0.006643979203318911,0.011524118196238588,0.0013342014386717852
P164,-123.6933,40.1193,-0.0032855532761454477,0.005407458009049649,0.0011524252420469
P165,-123.8533,40.2455,-0.0010003538536768922,0.006659208976660152,0.0004188661217292563
P166,-123.8628,40.4352,0.008349080152428422,0.007158034736446153,-0.0019034864482695044
P167,-123.8802,40.5437,0.012140020418553863,0.00856281108718555,-0.003048321515369869
P168,-123.8815,40.6686,0.012980686965590307,0.009310883456393516,-0.0037041897361180416
P169,-123.9677,40.7911,0.013430778366873033,0.010611104741044455,-0.004198148171429677
P170,-123.8633,40.8802,0.01016208108587619,0.008142870751666729,-0.0034578115303257884
P184,-123.7089,39.1172,-0.0027242879854932163,0.0035120528389174814,0.0014237870771193406
P185,-123.7493,39.2613,-0.0033582772630839875,0.004248517230070949,0.001693465081201884
P186,-123.5182,39.1502,-0.0026162040329068123,0.0032166939054688835,0.0013390549666787623
P187,-123.6025,39.3525,-0.003460577124735731,0.004135129817347621,0.0016779842634224449
P190,-123.204,39.242,-0.0023101956609776287,0.002643194162025229,0.0011374151618272032
P192,-123.1052,39.3197,-0.0022223002738939773,0.002487921924726086,0.0010719188501979462
P205,-122.9631,39.3981,-0.00198490567264099,0.0022001087496873323,0.0009419400104686211
P207,-122.7186,39.26,-0.001532968718261708,0.0017060848320352218,0.0007489425481995472
P208,-122.3039,39.1093,-0.0010616142022932366,0.0011899923935729689,0.0005316564916101492
P270,-122.0552,39.2438,-0.0008458344450381591,0.0009871979141563994,0.00041994526573303764
P312,-123.6984,39.5292,-0.004591843144102867,0.005341510797249622,0.0020889517972750202
P314,-123.5818,39.6857,-0.004561432467144784,0.005008632283534294,0.0019370845756040444
P315,-123.7169,39.8636,-0.005980540736130113,0.006490789263849554,0.0022774836022398633
P317,-123.5518,39.9057,-0.004161988330773834,0.00475843514751835,0.0016197301599572833
P318,-123.3719,39.4524,-0.0030942012580025867,0.003472946466680438,0.0014415007667617546
P319,-123.2951,39.7071,-0.002987415414963256,0.0033228838327871296,0.0012930597315863315
P320,-123.1868,39.4928,-0.0025793602923803822,0.002849126104306895,0.0011908935454790015
P321,-123.3949,39.8972,-0.0030487660589509262,0.0036831456127442335,0.0012383923890914856
P322,-123.1825,39.9621,-0.0017051251895481697,0.0026268001777189904,0.0007315099017783635
P324,-123.6557,40.2568,0.0002757908636298503,0.004556886924190481,5.974959917528389e-05
P325,-123.8826,41.1517,0.00640723475597749,0.005690216171412323,-0.002477295301767664
P326,-123.6989,40.5753,0.008228881850529647,0.005911748149503557,-0.0023713716308775288
